rec,cat,wp_id,slug,users_12mo,views_12mo,avg_eng_sec,reason,matched_ga_title,wp_title,link
DELETE,news,59338,coffee-shop-owners-say-lattes-would-have-to-be-7-to-follow-energy-hikes,0,0,0.0,Zero traffic 12mo,,Coffee Shop Owners Say Lattes Would Have to Be £7 to Follow Energy Hikes,https://comdebstage.wpengine.com/articles/coffee-shop-owners-say-lattes-would-have-to-be-7-to-follow-energy-hikes/
DELETE,news,46285,39-of-hair-and-beauty-sector-still-furloughed,0,0,0.0,Zero traffic 12mo,,39% of Hair and Beauty Sector Still Furloughed,https://comdebstage.wpengine.com/articles/39-of-hair-and-beauty-sector-still-furloughed/
DELETE,news,20956,jamie-oliver-restaurant-restructure-london,0,0,0.0,Zero traffic 12mo,,Jamie Oliver Saves London’s Barbecoa just as CVA for Jamie’s Italian Chain is Approved,https://comdebstage.wpengine.com/articles/jamie-oliver-restaurant-restructure-london/
DELETE,news,11269,common-causes-of-construction-insolvency,0,0,0.0,Zero traffic 12mo,,Common Causes of Insolvency in the Construction Industry,https://comdebstage.wpengine.com/articles/common-causes-of-construction-insolvency/
DELETE,news,45481,covid-19-effects-on-cruise-industry,0,0,0.0,Zero traffic 12mo,,Has the Cruise Industry Been Hit by the Perfect Storm?,https://comdebstage.wpengine.com/articles/covid-19-effects-on-cruise-industry/
DELETE,news,45670,124-pints-to-save-the-pub,1,1,46.0,Only 1 users in 12mo,124 Pints per Adult Required to Save the British Pub,124 Pints per Adult Required to Save the British Pub,https://comdebstage.wpengine.com/articles/124-pints-to-save-the-pub/
DELETE,news,19967,kids-company-directors-face-disqualification-proceedings,1,1,0.0,Only 1 users in 12mo,Kids Company Directors Face Disqualification,Kids Company Directors Face Disqualification,https://comdebstage.wpengine.com/articles/kids-company-directors-face-disqualification-proceedings/
DELETE,news,57275,6000-fuel-hikes-taxi-sector,2,2,25.5,Only 2 users in 12mo,£6000 Fuel Hikes Could Push Many Taxi Drivers into Insolvency,£6000 Fuel Hikes Could Push Many Taxi Drivers into Insolvency,https://comdebstage.wpengine.com/articles/6000-fuel-hikes-taxi-sector/
DELETE,news,50409,more-small-energy-providers-face-collapse-as-crisis-deepens,2,3,3.0,Only 2 users in 12mo,More UK Energy Providers Face Collapse as Crisis Deepens,More UK Energy Providers Face Collapse as Crisis Deepens,https://comdebstage.wpengine.com/articles/more-small-energy-providers-face-collapse-as-crisis-deepens/
DELETE,news,20594,how-will-carillions-insolvency-effect-its-supply-chain,3,3,41.7,Only 3 users in 12mo,What are the Likely Effects of Carillion's Insolvency on its Supply Chain?,What are the Likely Effects of Carillion’s Insolvency on its Supply Chain?,https://comdebstage.wpengine.com/articles/how-will-carillions-insolvency-effect-its-supply-chain/
DELETE,news,46571,12-year-ban-for-director-who-pocketed-covid-loan-cash,3,3,21.3,Only 3 users in 12mo,12 Year ban for Director who Pocketed Covid Loan Cash,12 Year ban for Director who Pocketed Covid Loan Cash,https://comdebstage.wpengine.com/articles/12-year-ban-for-director-who-pocketed-covid-loan-cash/
DELETE,news,20150,monarch-airline-insolvency,4,4,19.8,Only 4 users in 12mo,Monarch Files for Insolvency in UK’s Biggest Airline Collapse,Monarch Files for Insolvency in UK’s Biggest Airline Collapse,https://comdebstage.wpengine.com/articles/monarch-airline-insolvency/
DELETE,news,67805,poolmageddon-79-of-uk-pools-may-close-within-6-months,4,5,14.0,Only 4 users in 12mo,Poolmageddon: 79% of UK pools May Close Within 6 Months,Poolmageddon: 79% of UK pools May Close Within 6 Months,https://comdebstage.wpengine.com/articles/poolmageddon-79-of-uk-pools-may-close-within-6-months/
DELETE,news,13700,can-bradford-rugby-club-saved-liquidation,5,5,18.4,Only 5 users in 12mo,Can Bradford Rugby Club be Saved from Liquidation? - Company Debt,Can Bradford Rugby Club be Saved from Liquidation?,https://comdebstage.wpengine.com/articles/can-bradford-rugby-club-saved-liquidation/
DELETE,news,67900,find-out-why-the-transport-industry-is-prone-to-insolvency,5,6,83.2,Only 5 users in 12mo,Find out Why the Transport Industry is Prone to Insolvency,Find out Why the Transport Industry is Prone to Insolvency,https://comdebstage.wpengine.com/articles/find-out-why-the-transport-industry-is-prone-to-insolvency/
DELETE,news,52944,all-dishes-off-menu-for-dacampos-my-pasta-bar,6,6,52.8,Only 6 users in 12mo,All Dishes off Menu for D’Acampo’s My Pasta Bar,All Dishes off Menu for D’Acampo’s My Pasta Bar,https://comdebstage.wpengine.com/articles/all-dishes-off-menu-for-dacampos-my-pasta-bar/
DELETE,news,67800,insolvencies-within-the-technology-sector,7,7,65.9,Only 7 users in 12mo,Insolvencies Within the Technology Sector,Insolvencies Within the Technology Sector,https://comdebstage.wpengine.com/articles/insolvencies-within-the-technology-sector/
DELETE,news,73803,british-cycle-sales-hit-39-year-low,7,7,62.3,Only 7 users in 12mo,British Cycle Sales Hit 39 Year Low,British Cycle Sales Hit 39 Year Low,https://comdebstage.wpengine.com/articles/british-cycle-sales-hit-39-year-low/
DELETE,news,52948,leeds-dino-trail-collapses-into-administration,8,8,22.9,Only 8 users in 12mo,Leeds ‘Dino Trail’ Collapses into Administration,Leeds ‘Dino Trail’ Collapses into Administration,https://comdebstage.wpengine.com/articles/leeds-dino-trail-collapses-into-administration/
DELETE,news,23781,how-much-is-the-digital-sales-tax-going-to-affect-big-tech,9,15,142.4,Only 9 users in 12mo,How Much Will Big Tech Pay Under the new UK Digital Services Tax?,How Much Will Big Tech Pay Under the new UK Digital Services Tax?,https://comdebstage.wpengine.com/articles/how-much-is-the-digital-sales-tax-going-to-affect-big-tech/
REVIEW-DELETE,case_study,47401,plumbing,0,0,0.0,"Case study, 0 users in 12mo",,Plumbing Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/plumbing/
REVIEW-DELETE,case_study,47432,jeweller,0,0,0.0,"Case study, 0 users in 12mo",,Jeweller Case Study,https://comdebstage.wpengine.com/case-studies/jeweller/
REVIEW-DELETE,case_study,47495,hairdresser,0,0,0.0,"Case study, 0 users in 12mo",,Hairdresser Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/hairdresser/
REVIEW-DELETE,case_study,47491,hoverboard-retailer,0,0,0.0,"Case study, 0 users in 12mo",,HoverBoard Retailer Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/hoverboard-retailer/
REVIEW-DELETE,case_study,47484,it-consultancy,0,0,0.0,"Case study, 0 users in 12mo",,IT Consultancy Case Study (Creditors Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/it-consultancy/
REVIEW-DELETE,case_study,47420,information-technology,0,0,0.0,"Case study, 0 users in 12mo",,Information Technology Case Study,https://comdebstage.wpengine.com/case-studies/information-technology/
REVIEW-DELETE,case_study,23505,dissolution,0,0,0.0,"Case study, 0 users in 12mo",,Dissolution Case Study,https://comdebstage.wpengine.com/case-studies/dissolution/
REVIEW-DELETE,case_study,47456,bespoke-kitchen-manufacturer,1,1,0.0,"Case study, 1 users in 12mo",Bespoke Kitchen Manufacturer Insolvency Case Study,Bespoke Kitchen Manufacturer Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/bespoke-kitchen-manufacturer/
REVIEW-DELETE,case_study,47479,online-travel-agent,1,1,0.0,"Case study, 1 users in 12mo",Online Travel Agent Insolvency Case Study,Online Travel Agent Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/online-travel-agent/
REVIEW-DELETE,case_study,47462,pizza-restaurant,1,1,0.0,"Case study, 1 users in 12mo",Pizza Restaurant Insolvency Case Study,Pizza Restaurant Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/pizza-restaurant/
REVIEW-DELETE,case_study,47466,recruitment-consultant,1,1,0.0,"Case study, 1 users in 12mo",Women’s Fashion Store Insolvency Case Study,Women’s Fashion Store CVL Case Study,https://comdebstage.wpengine.com/case-studies/womens-fashion-store/
REVIEW-DELETE,case_study,47470,womens-fashion-store,1,1,0.0,"Case study, 1 users in 12mo",Recruitment Consultant Insolvency Case Study,Recruitment Consultant Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/recruitment-consultant/
REVIEW-DELETE,case_study,47487,hardware-maintenance,1,1,0.0,"Case study, 1 users in 12mo",Hardware Maintenance Insolvency Case Study,Hardware Maintenance Case Study (Creditors’ Voluntary Liquidation,https://comdebstage.wpengine.com/case-studies/hardware-maintenance/
REVIEW-DELETE,case_study,47447,corporate-finance,1,1,0.0,"Case study, 1 users in 12mo",Corporate Finance Insolvency Case Study,Corporate Finance Case Study,https://comdebstage.wpengine.com/case-studies/corporate-finance/
REVIEW-DELETE,case_study,47474,seo-consultancy,1,1,0.0,"Case study, 1 users in 12mo",SEO Consultancy Insolvency Case Study,SEO Consultancy (Insolvency Case Study),https://comdebstage.wpengine.com/case-studies/seo-consultancy/
REVIEW-DELETE,case_study,23510,time-to-pay-and-creditor-voluntary-liquidation,1,1,0.0,"Case study, 1 users in 12mo",Time to Pay and Liquidation Case Study,Time to Pay and Liquidation Case Study,https://comdebstage.wpengine.com/case-studies/time-to-pay-and-creditor-voluntary-liquidation/
