rec,cat,wp_id,slug,users_12mo,views_12mo,reason,wp_title,link
DELETE,news,59338,coffee-shop-owners-say-lattes-would-have-to-be-7-to-follow-energy-hikes,0,0,zero traffic,Coffee Shop Owners Say Lattes Would Have to Be £7 to Follow Energy Hikes,https://comdebstage.wpengine.com/articles/coffee-shop-owners-say-lattes-would-have-to-be-7-to-follow-energy-hikes/
DELETE,news,46285,39-of-hair-and-beauty-sector-still-furloughed,0,0,zero traffic,39% of Hair and Beauty Sector Still Furloughed,https://comdebstage.wpengine.com/articles/39-of-hair-and-beauty-sector-still-furloughed/
DELETE,news,20956,jamie-oliver-restaurant-restructure-london,0,0,zero traffic,Jamie Oliver Saves London’s Barbecoa just as CVA for Jamie’s Italian Chain is Approved,https://comdebstage.wpengine.com/articles/jamie-oliver-restaurant-restructure-london/
DELETE,news,11269,common-causes-of-construction-insolvency,0,0,zero traffic,Common Causes of Insolvency in the Construction Industry,https://comdebstage.wpengine.com/articles/common-causes-of-construction-insolvency/
DELETE,news,45481,covid-19-effects-on-cruise-industry,0,0,zero traffic,Has the Cruise Industry Been Hit by the Perfect Storm?,https://comdebstage.wpengine.com/articles/covid-19-effects-on-cruise-industry/
DELETE,case_study,47401,plumbing,0,0,zero traffic,Plumbing Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/plumbing/
DELETE,case_study,47432,jeweller,0,0,zero traffic,Jeweller Case Study,https://comdebstage.wpengine.com/case-studies/jeweller/
DELETE,case_study,47495,hairdresser,0,0,zero traffic,Hairdresser Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/hairdresser/
DELETE,case_study,47491,hoverboard-retailer,0,0,zero traffic,HoverBoard Retailer Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/hoverboard-retailer/
DELETE,case_study,47484,it-consultancy,0,0,zero traffic,IT Consultancy Case Study (Creditors Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/it-consultancy/
DELETE,case_study,47420,information-technology,0,0,zero traffic,Information Technology Case Study,https://comdebstage.wpengine.com/case-studies/information-technology/
DELETE,case_study,23505,dissolution,0,0,zero traffic,Dissolution Case Study,https://comdebstage.wpengine.com/case-studies/dissolution/
DELETE,news,45670,124-pints-to-save-the-pub,1,1,1 users,124 Pints per Adult Required to Save the British Pub,https://comdebstage.wpengine.com/articles/124-pints-to-save-the-pub/
DELETE,news,19967,kids-company-directors-face-disqualification-proceedings,1,1,1 users,Kids Company Directors Face Disqualification,https://comdebstage.wpengine.com/articles/kids-company-directors-face-disqualification-proceedings/
DELETE,case_study,47456,bespoke-kitchen-manufacturer,1,1,1 users,Bespoke Kitchen Manufacturer Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/bespoke-kitchen-manufacturer/
DELETE,case_study,47479,online-travel-agent,1,1,1 users,Online Travel Agent Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/online-travel-agent/
DELETE,case_study,47462,pizza-restaurant,1,1,1 users,Pizza Restaurant Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/pizza-restaurant/
DELETE,case_study,47466,recruitment-consultant,1,1,1 users,Women’s Fashion Store CVL Case Study,https://comdebstage.wpengine.com/case-studies/womens-fashion-store/
DELETE,case_study,47470,womens-fashion-store,1,1,1 users,Recruitment Consultant Case Study (Creditors’ Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/recruitment-consultant/
DELETE,case_study,47487,hardware-maintenance,1,1,1 users,Hardware Maintenance Case Study (Creditors’ Voluntary Liquidation,https://comdebstage.wpengine.com/case-studies/hardware-maintenance/
DELETE,case_study,47447,corporate-finance,1,1,1 users,Corporate Finance Case Study,https://comdebstage.wpengine.com/case-studies/corporate-finance/
DELETE,case_study,47474,seo-consultancy,1,1,1 users,SEO Consultancy (Insolvency Case Study),https://comdebstage.wpengine.com/case-studies/seo-consultancy/
DELETE,case_study,23510,time-to-pay-and-creditor-voluntary-liquidation,1,1,1 users,Time to Pay and Liquidation Case Study,https://comdebstage.wpengine.com/case-studies/time-to-pay-and-creditor-voluntary-liquidation/
DELETE,news,57275,6000-fuel-hikes-taxi-sector,2,2,2 users,£6000 Fuel Hikes Could Push Many Taxi Drivers into Insolvency,https://comdebstage.wpengine.com/articles/6000-fuel-hikes-taxi-sector/
DELETE,news,50409,more-small-energy-providers-face-collapse-as-crisis-deepens,2,3,2 users,More UK Energy Providers Face Collapse as Crisis Deepens,https://comdebstage.wpengine.com/articles/more-small-energy-providers-face-collapse-as-crisis-deepens/
DELETE,case_study,23483,creditors-voluntary-liquidation-with-phoenix,2,2,2 users,Creditors Voluntary Liquidation with Phoenix,https://comdebstage.wpengine.com/case-studies/creditors-voluntary-liquidation-with-phoenix/
DELETE,case_study,47414,freight-forwarder,2,2,2 users,Freight Forwarder Case Study,https://comdebstage.wpengine.com/case-studies/freight-forwarder/
DELETE,case_study,23474,individual-voluntary-arrangement-with-new-limited-company,2,2,2 users,Individual Voluntary Arrangement with new Limited Company,https://comdebstage.wpengine.com/case-studies/individual-voluntary-arrangement-with-new-limited-company/
DELETE,case_study,23524,personal-guarantees,2,2,2 users,Personal Guarantees Case Study,https://comdebstage.wpengine.com/case-studies/personal-guarantees/
DELETE,case_study,47392,pet-store,2,2,2 users,Pet Store Case Study (Closure by Liquidation),https://comdebstage.wpengine.com/case-studies/pet-store/
DELETE,case_study,47442,building-contractor,2,2,2 users,Building Contractor Case Study,https://comdebstage.wpengine.com/case-studies/building-contractor/
DELETE,case_study,47436,plastering-company,2,2,2 users,Plastering Company Case Study,https://comdebstage.wpengine.com/case-studies/plastering-company/
DELETE,news,20594,how-will-carillions-insolvency-effect-its-supply-chain,3,3,3 users,What are the Likely Effects of Carillion’s Insolvency on its Supply Chain?,https://comdebstage.wpengine.com/articles/how-will-carillions-insolvency-effect-its-supply-chain/
DELETE,news,46571,12-year-ban-for-director-who-pocketed-covid-loan-cash,3,3,3 users,12 Year ban for Director who Pocketed Covid Loan Cash,https://comdebstage.wpengine.com/articles/12-year-ban-for-director-who-pocketed-covid-loan-cash/
DELETE,case_study,47499,subcontractor-agency,3,3,3 users,Subcontractor Agency Case Study (Creditors Voluntary Liquidation),https://comdebstage.wpengine.com/case-studies/subcontractor-agency/
DELETE,news,20150,monarch-airline-insolvency,4,4,4 users,Monarch Files for Insolvency in UK’s Biggest Airline Collapse,https://comdebstage.wpengine.com/articles/monarch-airline-insolvency/
