month,incorporations,dissolutions,company_insolvencies
2024-06,61311,48688,2434
2024-07,64519,67008,2054
2024-08,63639,49622,1908
2024-09,65568,54208,1941
2024-10,71145,71643,1708
2024-11,61373,50848,1985
2024-12,50962,80423,1931
2025-01,69342,61893,2042
2025-02,67406,66797,2029
2025-03,76528,61397,1996
2025-04,72317,81231,2011
2025-05,69592,55691,2215
2025-06,69879,48503,2048
2025-07,73913,90386,2052
2025-08,67971,61088,2019
2025-09,76202,83031,1968
2025-10,75935,52363,2015
2025-11,59760,56152,1855
2025-12,51039,68538,1693
2026-01,71705,59233,1763
2026-02,60465,62882,1897
2026-03,74117,69192,2024
2026-04,67601,55202,2079
2026-05,62523,59295,1849
