month,total_corporate_insolvency_notices,winding_up_petitions,winding_up_petition_dismissals,winding_up_orders,administrator_appointments,administration_orders,liquidator_appointments,winding_up_resolutions_cvl
2024-06,7117,553,14,243,134,3,2372,2265
2024-07,8010,367,13,350,166,0,2725,2609
2024-08,7491,502,14,231,115,0,2568,2435
2024-09,7881,403,10,267,161,0,2631,2548
2024-10,13101,410,21,231,124,0,4492,4352
2024-11,8440,652,18,294,128,0,2749,2627
2024-12,7134,321,24,348,145,1,2499,2362
2025-01,5550,764,15,237,112,0,1660,1522
2025-02,7309,475,22,382,131,0,2429,2330
2025-03,10678,619,18,279,165,0,3587,3439
2025-04,9472,561,19,371,127,2,3188,3053
2025-05,6497,723,25,373,132,0,2108,1952
2025-06,6364,553,19,329,116,1,2145,2012
2025-07,6939,528,38,396,164,0,2340,2152
2025-08,6367,591,15,321,128,1,2144,1980
2025-09,6282,548,22,275,128,0,2118,1962
2025-10,7794,718,20,302,133,0,2590,2393
2025-11,6862,525,31,93,146,1,2356,2227
2025-12,7303,276,20,278,149,1,2592,2482
2026-01,5232,702,18,308,138,0,1511,1421
2026-02,7065,475,30,326,150,1,2312,2181
2026-03,10555,542,18,315,376,0,3583,3414
2026-04,8610,770,26,277,141,0,2832,2691
2026-05,6023,482,25,373,138,4,2031,1868
