"period","year","month","total_ew_sa","compliq_ew_sa","cvl_ew_sa","admin_ew_sa","total_ew_nsa","compliq_ew_nsa","cvl_ew_nsa","admin_ew_nsa","cva_ew_nsa","rec_ew_nsa","mor_ew_nsa","restplan_ew_nsa","tot_rate_ew","compliq_rate_ew","cvl_rate_ew","admin_rate_ew","cva_rate_ew","rec_rate_ew","adcvl_ew_nsa","adcvl_rate_ew","cvl_with_bulk_ew","cvl_with_bulk_rate_ew","total_sc_nsa","compliq_sc_nsa","cvl_sc_nsa","admin_sc_nsa","cva_sc_nsa","rec_sc_nsa","mor_sc_nsa","restplan_sc_nsa","tot_rate_sc","compliq_rate_sc","cvl_rate_sc","admin_rate_sc","cva_rate_sc","rec_rate_sc","adcvl_sc_nsa","adcvl_rate_sc","total_ni_nsa","compliq_ni_nsa","cvl_ni_nsa","admin_ni_nsa","cva_ni_nsa","rec_ni_nsa","mor_ni_nsa","restplan_ni_nsa","tot_rate_ni","compliq_rate_ni","cvl_rate_ni","admin_rate_ni","cva_rate_ni","rec_rate_ni","adcvl_ni_nsa","adcvl_rate_ni"
"2000-01",2000,1,1342,396,760,29,1162,396,581,28,44,113,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",581,"[x]",34,11,17,1,0,5,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-02",2000,2,1181,329,705,38,1246,334,761,42,33,76,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",761,"[x]",41,6,21,1,1,12,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-03",2000,3,1326,399,762,26,1588,480,942,27,48,91,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",942,"[x]",41,9,26,0,0,6,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-04",2000,4,1255,367,720,37,1195,371,655,38,49,82,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",655,"[x]",42,11,25,1,0,5,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-05",2000,5,1272,399,696,31,1313,472,659,36,55,91,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",659,"[x]",38,6,23,0,0,9,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-06",2000,6,1250,429,668,35,1300,457,690,35,45,73,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",690,"[x]",38,9,21,0,0,8,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-07",2000,7,1325,472,717,16,1347,458,748,21,30,90,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",748,"[x]",33,4,20,0,0,9,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-08",2000,8,1371,441,732,68,1281,326,772,53,43,87,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",772,"[x]",38,13,14,0,0,11,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-09",2000,9,1345,461,746,25,1275,447,693,22,47,66,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",693,"[x]",35,9,18,0,2,6,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"2000-10",2000,10,1364,420,763,30,1369,457,726,35,44,107,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]",726,"[x]",38,12,23,0,0,3,"[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]",0,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[z]","[z]","[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
