source_url,target_url,rejected_anchor,reason
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/hmrc/,HMRC tax debt,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/advice/are-directors-personally-liable-for-company-debts/,director personal liability,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/insolvency/,company insolvency,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/insolvency/check-if-a-company-is-insolvent/,check if a company is insolvent,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/liquidation/,company liquidation,anchor_absent_from_copy
https://www.companydebt.com/business-insolvency/articles-insights-hub/,/contact-us/,speak to an insolvency adviser,anchor_absent_from_copy
https://www.companydebt.com/articles/managing-debt-related-stress/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/articles/managing-debt-related-stress/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/articles/debt-charities-for-consumers/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/articles/debt-charities-for-consumers/,/liquidation/how-much-does-liquidation-cost/,liquidation costs,anchor_absent_from_copy
https://www.companydebt.com/articles/debt-charities-for-consumers/,/director-redundancy/,director redundancy pay,anchor_absent_from_copy
https://www.companydebt.com/articles/debt-charities-for-consumers/,/advice/are-directors-personally-liable-for-company-debts/,directors personally liable for company debts,anchor_absent_from_copy
https://www.companydebt.com/articles/35-of-charities-fear-insolvency-due-to-cost-of-living-crisis/,/advice/are-directors-personally-liable-for-company-debts/,directors personally liable for company debts,anchor_absent_from_copy
https://www.companydebt.com/articles/35-of-charities-fear-insolvency-due-to-cost-of-living-crisis/,/advice/directors-personal-guarantees/,directors’ personal guarantees,anchor_absent_from_copy
https://www.companydebt.com/sectors/insolvency-rescue-fish-chip-sector/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/insolvency-rescue-fish-chip-sector/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/insolvency-rescue-solutions-for-garden-centers/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/insolvency-rescue-solutions-for-garden-centers/,/liquidation/how-much-does-liquidation-cost/,liquidation costs,anchor_absent_from_copy
https://www.companydebt.com/services-to/creditors/,/debt-creditor-pressure-hub/,creditor pressure,anchor_absent_from_copy
https://www.companydebt.com/services-to/creditors/,/winding-up-petitions/,winding-up petition,anchor_absent_from_copy
https://www.companydebt.com/services-to/solicitors/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/services-to/solicitors/,/company-rescue-solutions/company-voluntary-arrangement/,Company Voluntary Arrangement,anchor_absent_from_copy
https://www.companydebt.com/services-to/accountants/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/services-to/accountants/,/company-rescue-solutions/company-voluntary-arrangement/,Company Voluntary Arrangement,anchor_absent_from_copy
https://www.companydebt.com/sectors/property/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/property/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/manufacturing/,/hmrc/time-to-pay-hmrc/,HMRC Time to Pay arrangement,anchor_absent_from_copy
https://www.companydebt.com/sectors/manufacturing/,/hmrc/,HMRC tax debt,anchor_absent_from_copy
https://www.companydebt.com/sectors/professional-services/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/professional-services/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/leisure/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/leisure/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/dry-cleaning-laundry/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/dry-cleaning-laundry/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/hotels/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/sectors/hotels/,/company-rescue-solutions/company-voluntary-arrangement/,Company Voluntary Arrangement,anchor_absent_from_copy
https://www.companydebt.com/sectors/haulage/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/sectors/haulage/,/company-rescue-solutions/company-voluntary-arrangement/,Company Voluntary Arrangement,anchor_absent_from_copy
https://www.companydebt.com/sectors/gyms/,/company-rescue-solutions/,company rescue solutions,anchor_absent_from_copy
https://www.companydebt.com/sectors/gyms/,/company-rescue-solutions/company-voluntary-arrangement/,Company Voluntary Arrangement,anchor_absent_from_copy
https://www.companydebt.com/sectors/events/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
https://www.companydebt.com/sectors/events/,/liquidation/creditors-voluntary-liquidation/,Creditors’ Voluntary Liquidation,anchor_absent_from_copy
https://www.companydebt.com/sectors/entertainment/,/closing-a-limited-company/,close a limited company with debts,anchor_absent_from_copy
