subject,detail,verification_status,official_check_url,browser_prompt,notes
Company Administration,"Pre-administration fees can range from £5,000 to £10,000 for smaller administrations.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Pre-administration fees can range from £5,000 to £10,000 for smaller administrations.. Return the exact quote and the official URL.","The search results provide information on various fees related to insolvency proceedings and Companies House filings, including incorporation fees, confirmation statement fees, and fees for the Official Receiver's services. However, none of the authoritative sources directly address or quantify ""pre-administration fees"" in the range of £5,000 to £10,000 for smaller administrations."
Pre Pack Administration,Pre-administration fees may be higher in pre-pack administrations due to increased preparatory work.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Pre-administration fees may be higher in pre-pack administrations due to increased preparatory work.. Return the exact quote and the official URL.,could not parse a structured verdict
General,Higher percentages for fee calculation may apply for specialist or challenging asset recoveries.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Higher percentages for fee calculation may apply for specialist or challenging asset recoveries.. Return the exact quote and the official URL.,could not parse a structured verdict
Company Administration,Directors may personally fund basic insolvency procedures if the company lacks sufficient assets to cover costs.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Directors may personally fund basic insolvency procedures if the company lacks sufficient assets to cover costs.. Return the exact quote and the official URL.,"verify call failed: ServerError: 504 DEADLINE_EXCEEDED. {'error': {'code': 504, 'message': 'The request timed out. Please try again.', 'status': 'DEADLINE_EXCEEDED'}}"
Company Administration,Pre-administration costs may require creditor approval if not fixed with directors beforehand.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Pre-administration costs may require creditor approval if not fixed with directors beforehand.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Wrongful trading occurs when directors continue to trade without a reasonable prospect of avoiding insolvent liquidation or administration.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Wrongful trading occurs when directors continue to trade without a reasonable prospect of avoiding insolvent liquidation or administration.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Directors are jointly and severally liable for losses incurred from the point wrongful trading commenced.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Directors are jointly and severally liable for losses incurred from the point wrongful trading commenced.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Fraudulent trading requires proof of dishonesty and actual intent to defraud creditors.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Fraudulent trading requires proof of dishonesty and actual intent to defraud creditors.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Fraudulent trading is a criminal offence that can lead to imprisonment.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Fraudulent trading is a criminal offence that can lead to imprisonment.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Administration,Misfeasance or breach of fiduciary duty includes misapplying company money or acting outside powers.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Misfeasance or breach of fiduciary duty includes misapplying company money or acting outside powers.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
