subject,detail,verification_status,official_check_url,browser_prompt,notes
Company Voluntary Arrangement,A Company Voluntary Arrangement (CVA) is registered at Companies House once approved.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A Company Voluntary Arrangement (CVA) is registered at Companies House once approved.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Company Voluntary Arrangement,"Small companies may be eligible for an optional moratorium period while a CVA proposal is prepared, provided they have no more than 50 employees, balance sheet assets no greater than £5.1 million, and turnover no greater than £10.2 million.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Small companies may be eligible for an optional moratorium period while a CVA proposal is prepared, provided they have no more than 50 employees, balance sheet assets no greater than £5.1 million, and turnover no greater than £10.2 million.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Company Voluntary Arrangement,"A CVA is legally binding on all unsecured creditors who were entitled to vote, even those who did not receive notice (provided they were entitled to be notified).",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A CVA is legally binding on all unsecured creditors who were entitled to vote, even those who did not receive notice (provided they were entitled to be notified).. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Company Voluntary Arrangement,"Upon successful completion of a CVA, the company receives a completion certificate from the supervisor.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Upon successful completion of a CVA, the company receives a completion certificate from the supervisor.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Company Dissolution / Strike-Off,"Attempting to dissolve or strike off an insolvent company to avoid paying creditors is a serious misuse of the Companies Act 2006 provisions. Creditors can object to the strike-off, and if it proceeds, the company can be restored to the register. Directors involved could face investigations, disqualification, or even personal liability if fraudulent activity is suspected.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Attempting to dissolve or strike off an insolvent company to avoid paying creditors is a serious misuse of the Companies Act 2006 provisions. Creditors can object to the strike-off, and if it proceeds, the company can be restored to the register. Directors involved could face investigations, disqualification, or even personal liability if fraudulent activity is suspected.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"A director (or shadow director) of a company that has gone into insolvent liquidation is prohibited by Section 216 of the Insolvency Act 1986 from being involved with another company (or business) that trades under the same or a similar name for five years. Breaching this is a criminal offence, punishable by imprisonment and/or a fine, and can lead to personal liability for the new company's debts.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A director (or shadow director) of a company that has gone into insolvent liquidation is prohibited by Section 216 of the Insolvency Act 1986 from being involved with another company (or business) that trades under the same or a similar name for five years. Breaching this is a criminal offence, punishable by imprisonment and/or a fine, and can lead to personal liability for the new company's debts.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,Director disqualification is governed by the Company Directors Disqualification Act 1986 (CDDA).,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Director disqualification is governed by the Company Directors Disqualification Act 1986 (CDDA).. Return the exact quote and the official URL.,skipped: per-run verification budget reached
HMRC,"HMRC can issue Personal Liability Notices (PLNs) to directors under the Social Security Administration Act 1992 (specifically section 121C for NICs), making them personally liable for unpaid PAYE and National Insurance contributions if the failure to pay was due to the director's fraud or neglect. HMRC actively uses PLNs.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Personal Liability Notices (PLNs) to directors under the Social Security Administration Act 1992 (specifically section 121C for NICs), making them personally liable for unpaid PAYE and National Insurance contributions if the failure to pay was due to the director's fraud or neglect. HMRC actively uses PLNs.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,The Companies Act 2006 is also relevant to directors' duties during a Company Voluntary Arrangement (CVA).,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The Companies Act 2006 is also relevant to directors' duties during a Company Voluntary Arrangement (CVA).. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement,"For a CVA to be approved, the resolution will be invalid if more than 50% (by value) of all unconnected creditors whose claims are admitted for voting vote against it.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For a CVA to be approved, the resolution will be invalid if more than 50% (by value) of all unconnected creditors whose claims are admitted for voting vote against it.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement,The nominee IP is generally required to work out the arrangement details and payment schedule within one month of their appointment.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The nominee IP is generally required to work out the arrangement details and payment schedule within one month of their appointment.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement,"A CVA can potentially be extended by up to two years in exceptional, unforeseen circumstances.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A CVA can potentially be extended by up to two years in exceptional, unforeseen circumstances.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement,"The initial fees for simple, small-scale CVAs can start around £1,500.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The initial fees for simple, small-scale CVAs can start around £1,500.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement,"For small to medium-sized businesses, the total lifetime cost of a CVA, including both nominee and supervisor fees, can range from £2,000 to £10,000.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For small to medium-sized businesses, the total lifetime cost of a CVA, including both nominee and supervisor fees, can range from £2,000 to £10,000.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement,"Total supervisor fees for CVA arrangements spanning several years can range from £10,000 to £30,000 or more.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Total supervisor fees for CVA arrangements spanning several years can range from £10,000 to £30,000 or more.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,Creditors also have a say in agreeing to the terms relating to the insolvency practitioner's remuneration.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors also have a say in agreeing to the terms relating to the insolvency practitioner's remuneration.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement,Payments from the company's cash flow in a CVA are used to cover the insolvency practitioner's fees before the remainder is distributed to creditors.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Payments from the company's cash flow in a CVA are used to cover the insolvency practitioner's fees before the remainder is distributed to creditors.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement,Creditors may challenge a CVA within 28 days of approval on grounds of 'unfair prejudice' or 'material irregularity'.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors may challenge a CVA within 28 days of approval on grounds of 'unfair prejudice' or 'material irregularity'.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Moratorium,"A standalone moratorium, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020), offers an initial 20 business days of legal protection from creditor action, extendable for a further 20 business days by directors, or longer with creditor consent or court approval. For this, the company must be able to pay certain new debts, and the Monitor must believe rescue is possible.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A standalone moratorium, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020), offers an initial 20 business days of legal protection from creditor action, extendable for a further 20 business days by directors, or longer with creditor consent or court approval. For this, the company must be able to pay certain new debts, and the Monitor must believe rescue is possible.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Restructuring Plan,"A Restructuring Plan, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020) establishing Part 26A of the Companies Act 2006, is a court-sanctioned process for viable companies allowing a compromise with creditors and/or shareholders. It can impose a plan on dissenting creditor classes, known as 'cross-class cram down', if the court deems it 'fair and equitable', with approval typically requiring a majority in number representing 75% in value within each class.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A Restructuring Plan, introduced by the Corporate Insolvency and Governance Act 2020 (CIGA 2020) establishing Part 26A of the Companies Act 2006, is a court-sanctioned process for viable companies allowing a compromise with creditors and/or shareholders. It can impose a plan on dissenting creditor classes, known as 'cross-class cram down', if the court deems it 'fair and equitable', with approval typically requiring a majority in number representing 75% in value within each class.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
