subject,detail,verification_status,official_check_url,browser_prompt,notes
Compulsory Liquidation,The court fee for filing a winding-up petition is currently around £343.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The court fee for filing a winding-up petition is currently around £343.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Compulsory Liquidation,"The petitioning creditor's legal fees for a compulsory liquidation typically range from £1,500 to £4,000.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The petitioning creditor's legal fees for a compulsory liquidation typically range from £1,500 to £4,000.. Return the exact quote and the official URL.","Authoritative UK sources such as GOV.UK and the Insolvency Service guidance (e.g.,) provide information on court fees (£343) and the petition deposit (£2,600) for a winding-up petition. However, these sources do not specify a typical range for the 'petitioning creditor's legal fees' (i.e., solicitor's professional fees) for a compulsory liquidation. While other non-authoritative sources suggest figures for legal fees, the instructions explicitly prohibit relying on such sources for the verdict. Therefore, the claim regarding the typical range of legal fees cannot be verified against the authoritative sources provided."
Compulsory Liquidation,"The total initial outlay for the petitioning creditor in a compulsory liquidation can be in the range of £3,500 to £4,000.",contradicted,https://www.gov.uk/wind-up-a-company-that-owes-you-money,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The total initial outlay for the petitioning creditor in a compulsory liquidation can be in the range of £3,500 to £4,000.. Return the exact quote and the official URL.","According to official GOV.UK guidance, the mandatory court fee for a winding-up petition is £343 and the petition deposit to the Official Receiver is £2,600. These two fixed costs alone total £2,943. The 'total initial outlay' for a petitioning creditor would also include other essential disbursements such as process server fees (typically £100-£200 plus VAT) and the cost of advertising the petition in The London Gazette (approximately £80-£120 plus VAT). Furthermore, solicitors' professional fees for preparing, issuing, and progressing the petition are a significant component of the initial outlay, with estimates for drafting alone ranging from £1,500 to £2,000 plus VAT for a non-complex case, or general legal costs between £1,000 and £5,000. Even with the lowest estimates for these additional costs (e.g., £100 for process server, £80 for advertising, and a conservative £1,000 for initial legal fees), the total initial outlay would be approximately £2,943 + £100 + £80 + £1,000 = £4,123. This sum exceeds the upper end of the claimed range of £3,500 to £4,000. The Official Receiver's deposit was increased from £1,600 to £2,600 from 1 November 2022."
Official Receiver,"The Official Receiver charges statutory fees including an administration fee of £5,000 and a general fee of £6,000 for winding-up by the court.",contradicted,https://www.legislation.gov.uk/uksi/2016/692/schedule/1/made,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The Official Receiver charges statutory fees including an administration fee of £5,000 and a general fee of £6,000 for winding-up by the court.. Return the exact quote and the official URL.","The claim states an administration fee of £5,000 and a general fee of £6,000. According to The Insolvency Proceedings (Fees) Order 2016, as amended by The Insolvency Proceedings (Fees) (Amendment) Order 2024, which came into force on 9 January 2025, the Official Receiver's administration fee for winding up by the court (other than a petition presented under section 124A) is £6,000. The Official Receiver's general fee is £7,200. The original fees of £5,000 for the administration fee and £6,000 for the general fee were applicable prior to the 2025 amendment."
Insolvency Practitioner,"Insolvency Practitioner (IP) fees for compulsory liquidation typically range from £5,000 to £10,000, or around £3,000 to £5,000+ once wider costs are factored in.",not_found,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Insolvency Practitioner (IP) fees for compulsory liquidation typically range from £5,000 to £10,000, or around £3,000 to £5,000+ once wider costs are factored in.. Return the exact quote and the official URL.","Authoritative UK sources, including GOV.UK and The Insolvency Service official guidance, legislation on legislation.gov.uk (such as The Insolvency (England and Wales) Rules 2016 and The Insolvency Proceedings (Fees) Order 2016), and guidance from recognised professional bodies (like ICAEW), detail the statutory fees charged by the Official Receiver in compulsory liquidations and the mechanisms for determining Insolvency Practitioner (IP) remuneration (e.g., by creditors' committee or court). However, these sources do not provide typical fee ranges for IP fees in compulsory liquidation, either for the IP's remuneration directly or for wider costs factored in. While some sources mention specific Official Receiver administration fees (e.g., £5,000, £7,500, or a £7,200 general fee) and petition costs (e.g., £2,600 submission fee and £280 court hearing fee), these are distinct from the typical fee ranges for IPs as stated in the claim. The authoritative sources focus on the *process* of fee approval and statutory charges rather than typical commercial fee amounts."
Compulsory Liquidation,"The overall cost for a compulsory liquidation process can be between £1,000 and £7,500, depending on the company's size and complexity.",contradicted,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The overall cost for a compulsory liquidation process can be between £1,000 and £7,500, depending on the company's size and complexity.. Return the exact quote and the official URL.","The Insolvency Proceedings (Fees) (Amendment) Order 2024, effective from 9 January 2025, significantly updated the fees for compulsory liquidation. The Official Receiver's administration fee for a general winding up by the court is £6,000, and the Official Receiver's general fee is £7,200. These two mandatory fees alone total £13,200. Additional costs, such as the court fee (£280 or £343) and the petition deposit (£2,600), further increase the overall cost, demonstrating that the minimum statutory fees for compulsory liquidation far exceed the claimed range of £1,000 to £7,500."
Compulsory Liquidation,A company is typically dissolved three months after the liquidator submits the final account to the court and Companies House.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A company is typically dissolved three months after the liquidator submits the final account to the court and Companies House.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Director Disqualification,A compensation order may also be made against a disqualified director to repay losses suffered by creditors.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A compensation order may also be made against a disqualified director to repay losses suffered by creditors.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
HMRC,"HMRC can issue Personal Liability Notices (PLNs) to directors if they are deemed to have intentionally or recklessly failed to ensure the company paid PAYE, National Insurance, or Construction Industry Scheme deductions.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Personal Liability Notices (PLNs) to directors if they are deemed to have intentionally or recklessly failed to ensure the company paid PAYE, National Insurance, or Construction Industry Scheme deductions.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"It is a criminal offence for a director of a company that has gone into insolvent liquidation to re-use the company name (or a name so similar as to suggest an association) for another business within 5 years without court permission (Sections 216 & 217 Insolvency Act 1986), potentially making them personally liable for the debts of the new company.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): It is a criminal offence for a director of a company that has gone into insolvent liquidation to re-use the company name (or a name so similar as to suggest an association) for another business within 5 years without court permission (Sections 216 & 217 Insolvency Act 1986), potentially making them personally liable for the debts of the new company.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
