detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n1,A Creditors' Voluntary Liquidation is the most common form of company insolvency in the UK.,Statistics / Data,Creditors' Voluntary Liquidation,,,,gemini · broad,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.gov.uk/government/statistics/company-insolvency-statistics-december-2025,"In 2025 CVLs were the most common company insolvency procedure (77%), followed by compulsory liquidations (16%), administrations (6%) and CVAs (1%), whilst receivership appointments made up less than 1% of cases.",2026-06-10,grounded,"This data is for England and Wales in 2025, according to The Insolvency Service official statistics published on GOV.UK. Similar trends are reported for January 2026 and for Scotland since April 2020.",False,
n2,Shareholders can shorten the 14 days' notice for a special resolution to wind up the company to 7 days if 90% of shareholders agree.,Process / Steps,Creditors' Voluntary Liquidation,Shareholder Resolution,"7 days, 90%",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE_SM3ke3chjaWIcpVYHKfIso_zfvhkTIAMSm62hizKxyPoUm6-i0uN_3WNaBOTuBWzC0N-aw9tvgmdXUw7xm9Q_G3dhfz5MceyyFfchfTZaCMFlI68_IGpHcHrNIEoIXsf1idlINewj3N4iRIuMS-|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3niWFh2MNavB0QpPjrfFjQWMsJQ0wxBvRKK1MAotT6M7QTj_Q-gd6zYYyikD9qn4HYIRbGnhar3J53tgk0KR6JryabRE1U4x58jOv7FxLUozD9Ftgw-PXq5od9tOJPQzcsCysApQ7QCRG2YMi_2uGBO5aHgoJ6WISbn9jnvl0k_XDQbnPtJw-4Cu3ggnFyOUkXirl2KBhIdQ8QBFmmA==,gemini · broad|gemini · usecase-1,missing,process_steps,,medium,True,True,True,,partially_verified,https://www.legislation.gov.uk/ukpga/2006/46/section/307,"A general meeting may be called by shorter notice than that specified in subsection (1) or (2) if it is agreed by a majority in number of the members having a right to attend and vote at the meeting, being a majority together holding not less than 90% in nominal value of the shares giving that right (or, in the case of a company not having a share capital, together representing not less than 90% of the total voting rights at the meeting).",2026-06-10,grounded,"The Companies Act 2006, Section 307(4) states that a general meeting (where a special resolution to wind up the company would be passed) can be called with 'shorter notice' than the statutory 14 days for private companies, provided a majority of members representing not less than 90% of the total voting rights agree. However, the legislation or official GOV.UK guidance does not explicitly specify that this shortened period is exactly '7 days'. The term used is 'shorter notice'.",False,
n3,Creditors must receive at least 7 days' notice of the proposed liquidation and decision procedure.,Process / Steps,Creditors' Voluntary Liquidation,Creditor Decision Procedure,7 days,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE_SM3ke3chjaWIcpVYHKfIso_zfvhkTIAMSm62hizKxyPoUm6-i0uN_3WNaBOTuBWzC0N-aw9tvgmdXUw7xm9Q_G3dhfz5MceyyFfchfTZaCMFlI68_IGpHcHrNIEoIXsf1idlINewj3N4iRIuMS-|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3niWFh2MNavB0QpPjrfFjQWMsJQ0wxBvRKK1MAotT6M7QTj_Q-gd6zYYmSALVNSgFvWb3j4mz1HBZBlweqwpcSR2owq1kHHbmLvFFPlMWRG-1PyFBOfqdch3yYEp51KLOJQMEXndBa6v10JFPpRzFCEUJcUSkXNmmM=,gemini · broad|gemini · usecase-1,missing,process_steps,,medium,True,True,True,,contradicted,https://www.legislation.gov.uk/uksi/2016/1024/rule/15.11/made,"Notices of decision procedures, and notices seeking deemed consent, must be delivered in accordance with the following table: ... creditors' voluntary winding up, decisions of creditors for appointment of liquidator ... Minimum notice required: ... in other cases, 3 business days.",2026-06-10,grounded,"Rule 15.11(1) of The Insolvency (England and Wales) Rules 2016 specifies different minimum notice periods for decision procedures in creditors' voluntary winding up, depending on the circumstances. While 14 days and 7 days are applicable in certain conversion scenarios, 'in other cases' (which would cover a standard CVL) the minimum notice required for decisions of creditors for the appointment of a liquidator is 3 business days. This contradicts the claim that creditors must receive at least 7 days' notice.",False,
n4,"A physical meeting of creditors is only held if requested by 10% of creditors by value or number, or by 10 individual creditors.",Process / Steps,Creditors' Voluntary Liquidation,Creditor Decision Procedure,10%,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3niWFh2MNavB0QpPjrfFjQWMsJQ0wxBvRKK1MAotT6M7QTj_Q-gd6zYYmSALVNSgFvWb3j4mz1HBZBlweqwpcSR2owq1kHHbmLvFFPlMWRG-1PyFBOfqdch3yYEp51KLOJQMEXndBa6v10JFPpRzFCEUJcUSkXNmmM=,gemini · usecase-1,missing,process_steps,,medium,True,True,True,,verified,,"A physical creditors' meeting may only be called if, after notice of a decision making process has been sent to creditors, more than 10% in number or value of creditors or more than 10 creditors in actual number request a physical meeting.",2026-06-10,grounded,"This is stipulated in the Insolvency (England and Wales) Rules 2016, Rule 15.6, which refers to the thresholds in sections 246ZE(7) and 379ZA(7) of the Insolvency Act 1986, introduced by the Small Business Enterprise and Employment Act 2015. The quoted text is from official guidance on the Insolvency Rules 2016.",False,
n5,"If creditors nominate a different liquidator, their nomination usually overrides that of the shareholders.",Process / Steps,Creditors' Voluntary Liquidation,Liquidator Appointment,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3niWFh2MNavB0QpPjrfFjQWMsJQ0wxBvRKK1MAotT6M7QTj_Q-gd6zYYmSALVNSgFvWb3j4mz1HBZBlweqwpcSR2owq1kHHbmLvFFPlMWRG-1PyFBOfqdch3yYEp51KLOJQMEXndBa6v10JFPpRzFCEUJcUSkXNmmM=,gemini · usecase-1,missing,process_steps,,medium,False,False,False,,unverified,,,,,,False,
n6,The liquidator is required to advertise their appointment in The Gazette.,Process / Steps,Creditors' Voluntary Liquidation,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3niWFh2MNavB0QpPjrfFjQWMsJQ0wxBvRKK1MAotT6M7QTj_Q-gd6zYYmSALVNSgFvWb3j4mz1HBZBlweqwpcSR2owq1kHHbmLvFFPlMWRG-1PyFBOfqdch3yYEp51KLOJQMEXndBa6v10JFPpRzFCEUJcUSkXNmmM=,gemini · usecase-1,missing,process_steps,,medium,True,True,True,,verified,,"Section 109 of the Insolvency Act 1986 requires a liquidator, within 14 days of appointment, to notify the Registrar of Companies, and to publish a notice of appointment in the Gazette using forms 600 and 600a, as specified by the Companies (Forms) (Amendments) Regulations 1987.",2026-06-10,grounded,"The requirement for a liquidator to advertise their appointment in The Gazette is mandated by Section 109 of the Insolvency Act 1986. This is confirmed by official guidance from The Insolvency Service. The Insolvency (England and Wales) Rules 2016 (Rule 6.23(1)) refers to the notice of appointment in accordance with section 109(1). Companies House also provides forms (e.g., Form 600a) for this purpose for voluntary liquidations (including Creditors' Voluntary Liquidations) for insertion in The Gazette.",False,
n7,"Fraudulent trading is a criminal offence under Section 213 of the Insolvency Act 1986 and the Companies Act 2006, and can lead to personal liability for company debts, fines, and a prison sentence of up to 10 years.",Director Liability / Personal Risk,Creditors' Voluntary Liquidation,Fraudulent Trading,10 years,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFqpwlupIql1ufeMcaoa_-11bRrMx5spOnoXlPSXxCf9AVDpiaTxZfoy3Q7vhGgsaOhGz1d0nrw7VOl8ggP2-a27Q4lrjdCzf2UqcDUP-HcCfTCPzbs9m_0FiVkd3ZR9AjjWJEhVJEWEen39XBPmp9Xda8=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · broad|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,
n8,"A liquidator can seek a court order for a director to repay, restore, or account for money or property if they are found guilty of misfeasance (a breach of duty, such as misapplying company money/property, or breach of fiduciary duty).",Director Liability / Personal Risk,Creditors' Voluntary Liquidation,Misfeasance,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFqpwlupIql1ufeMcaoa_-11bRrMx5spOnoXlPSXxCf9AVDpiaTxZfoy3Q7vhGgsaOhGz1d0nrw7VOl8ggP2-a27Q4lrjdCzf2UqcDUP-HcCfTCPzbs9m_0FiVkd3ZR9AjjWJEhVJEWEen39XBPmp9Xda8=,gemini · broad,missing,warning_callout,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/212,"The court may, on the application of the official receiver or the liquidator, ... examine into the conduct of the person falling within subsection (1) and compel him— (a) to repay, restore or account for the money or property or any part of it, with interest at such rate as the court thinks just, or (b) to contribute such sum to the company’s assets by way of compensation in respect of the misfeasance or breach of fiduciary or other duty as the court thinks just.",2026-06-10,grounded,"The claim is directly verified by Section 212 of the Insolvency Act 1986. Subsection (1) defines the circumstances, including misapplying or retaining company money/property, or being guilty of misfeasance or breach of any fiduciary or other duty. Subsection (3) empowers the court, on application by a liquidator, to compel the individual to repay, restore, or account for the money or property, or to contribute a sum as compensation. The version of the Act is in force, with no relevant changes affecting this specific claim noted up to 04 June 2026.",False,
n9,"The Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act, introduced in December 2021, extended the Insolvency Service's powers to investigate and disqualify directors of dissolved companies retrospectively for up to 15 years, and the Business Secretary can apply for compensation orders.",Legal / Regulatory,The Insolvency Service,Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act,15 years,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG761puQyle6wmntLFskkq8JejI_dbIaL40OBApdidJ2Mt2nUDbWYh48Sj6h8hLxbZITc-sXWqHW4vrC_5YJAciKZODB5CvS21j434BqsJ0bP-amOCJE6yvNAmT_7k79NpUi-Kg-EqIByL3-XOAbLCmoaXKJQuKchcRLKbwhBOOj5m-HXTwLZn13qQlHvot1enW1zPY9UNv7qX9GblzIvU=,gemini · risk,missing,source_note,,medium,True,True,True,,verified,https://www.gov.uk/guidance/director-disqualification-a-guide-to-compensation-orders,The Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021 extended the provision to include directors of dissolved companies. This provision is retrospective which means that conduct before the Act came into force can be taken into account. The Insolvency Service can apply to the court for a compensation order on behalf of the Secretary of State for Business & Trade.,2026-06-10,grounded,"The Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021 received Royal Assent on 15th December 2021. This Act amended the Company Directors Disqualification Act 1986, which allows for disqualification orders ranging from 2 to 15 years. The extended powers therefore include disqualification for up to 15 years.",False,
n10,"Breach of Section 216 of the Insolvency Act 1986 (restrictions on reusing company names) is a criminal offence, punishable by imprisonment of up to two years and/or a fine, and can also make the director personally liable for the debts of the new company incurred while using the prohibited name.",Director Liability / Personal Risk,Creditors' Voluntary Liquidation,s.216 Insolvency Act 1986,2 years,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG2zqXvuPd7OASpUOXVw1DE9odYeAmSf6H3ppIVHFDoEv2QYfxf-5tvi-NXBwZqK-Uk9IUYS546N4BPPU0fpghAowB7ImZ5XzqpFw342U7bh8uXXXZ_7vaC8UGJ1k5iC4G3rDfcP8ye4RKb06FjvxW_nIfPs35ox3PiZeJzdplTc-xt5O6-tXfHQXqmBdNgmO6FfZDYBxeJVt_Cdc_qE1EAks_9ArtcFmXWzDsw|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGz_xCoWGkkAU4F_ZVLAr357WYCu8d4hA64jMta8f_scgPygolkmOvjdTKkIqLzYVS4vl-Acf0ShrIfTgMlp_T0Uw5810v51uhZz4vQ71GZF7QKC43unHyHvEb8a53Pey3YfO_hYqDmYmlILLXQ5d8SEusgWjOg5yUx,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,verified,https://www.gov.uk/government/publications/re-use-of-company-names,"If you are found in breach of these restrictions you could be: prosecuted and, if convicted, imprisoned and/or fined, and sometimes an order to confiscate the proceeds of crime will be made; made personally liable for the debts incurred by the company during the breach.",2026-06-10,grounded,"Section 216(4) of the Insolvency Act 1986 states that a person contravening the section is liable to imprisonment or a fine, or both. Schedule 10 of the Insolvency Act 1986 specifies that for contravening restrictions on the re-use of a company name in insolvent liquidation, the punishment on indictment is 2 years imprisonment or a fine, or both. Personal liability for debts incurred by the new company is further detailed in Section 217 of the Insolvency Act 1986.",False,
