subject,detail,verification_status,official_check_url,browser_prompt,notes
Members' Voluntary Liquidation,The liquidator must notify Companies House of their appointment within 15 days of the winding-up resolution.,contradicted,https://www.gov.uk/government/publications/form-600ch-appoint-liquidator-in-voluntary-winding-up/appoint-liquidator-in-voluntary-winding-up-600ch,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The liquidator must notify Companies House of their appointment within 15 days of the winding-up resolution.. Return the exact quote and the official URL.,"The claim states 15 days, but authoritative sources indicate 14 days for notifying Companies House of the liquidator's appointment in a voluntary winding up. The Insolvency Act 1986, Section 109, requires the liquidator to notify the Registrar of Companies within 14 days of appointment.. The Insolvency (England and Wales) Rules 2016 also aligns with this timeframe for notifying creditors, stating within 28 days of appointment. However, the specific notification to Companies House is governed by Section 109 of the Insolvency Act 1986 and typically uses forms like 600CH for England and Wales appointments after December 9, 2017."
Members' Voluntary Liquidation,The company is formally dissolved approximately three months after the liquidator files the final return with Companies House.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The company is formally dissolved approximately three months after the liquidator files the final return with Companies House.. Return the exact quote and the official URL.,could not parse a structured verdict
General,"An overdrawn Director's Loan Account (DLA) is treated as a debt owed to the company, which the liquidator must pursue for creditors.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): An overdrawn Director's Loan Account (DLA) is treated as a debt owed to the company, which the liquidator must pursue for creditors.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"If an overdrawn DLA is not repaid within nine months of the company's year-end, the company may incur a Section 455 tax charge (currently 33.75%).",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): If an overdrawn DLA is not repaid within nine months of the company's year-end, the company may incur a Section 455 tax charge (currently 33.75%).. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"An overdrawn DLA exceeding £10,000 without interest can attract a benefit-in-kind tax for the director.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): An overdrawn DLA exceeding £10,000 without interest can attract a benefit-in-kind tax for the director.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,"If a director continues to withdraw money from an overdrawn DLA when the company is insolvent, it could be treated as wrongful trading or misfeasance.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): If a director continues to withdraw money from an overdrawn DLA when the company is insolvent, it could be treated as wrongful trading or misfeasance.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
HMRC,"HMRC can issue Joint and Several Liability Notices (JSLNs) making directors personally liable for company tax debts in specific circumstances, including repeated insolvencies and tax liabilities exceeding £10,000.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Joint and Several Liability Notices (JSLNs) making directors personally liable for company tax debts in specific circumstances, including repeated insolvencies and tax liabilities exceeding £10,000.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
HMRC,"HMRC can issue Personal Liability Notices (PLNs) under Section 121C of the Social Security Administration Act 1992, making directors personally liable for unpaid National Insurance Contributions if the underpayment was due to their fraud or neglect.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): HMRC can issue Personal Liability Notices (PLNs) under Section 121C of the Social Security Administration Act 1992, making directors personally liable for unpaid National Insurance Contributions if the underpayment was due to their fraud or neglect.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
HMRC,"Since 1 December 2020, HMRC is a secondary preferential creditor for certain taxes, including VAT, PAYE Income Tax, and Employee National Insurance Contributions.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Since 1 December 2020, HMRC is a secondary preferential creditor for certain taxes, including VAT, PAYE Income Tax, and Employee National Insurance Contributions.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Companies House,A company can be restored to the register for up to six years after dissolution for creditors to pursue debts.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A company can be restored to the register for up to six years after dissolution for creditors to pursue debts.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
