month,total_insolvencies,cvl,compulsory_liquidation,administration,cva,receivership,rate_per_10k_12m_rolling
2000-01,1342,760,396,29,44,113,
2000-02,1181,705,329,38,33,76,
2000-03,1326,762,399,26,48,91,
2000-04,1255,720,367,37,49,82,
2000-05,1272,696,399,31,55,91,
2000-06,1250,668,429,35,45,73,
2000-07,1325,717,472,16,30,90,
2000-08,1371,732,441,68,43,87,
2000-09,1345,746,461,25,47,66,
2000-10,1364,763,420,30,44,107,
2000-11,1330,760,382,36,56,96,
2000-12,1345,745,431,43,57,69,
2001-01,1409,758,424,47,60,120,113.3
2001-02,1413,766,459,35,32,121,114.1
2001-03,1300,690,416,52,40,102,112.8
2001-04,1455,750,494,47,53,111,114.3
2001-05,1294,736,365,56,60,77,113.7
2001-06,1385,797,406,40,48,94,113.8
2001-07,1335,763,411,49,42,70,113.7
2001-08,1269,783,308,48,51,79,112.8
2001-09,1301,785,332,63,49,72,111.9
2001-10,1457,773,345,154,51,134,112.7
2001-11,1426,821,352,64,64,125,113.1
2001-12,1359,829,364,44,48,74,113.1
2002-01,1455,815,397,77,46,120,113.1
2002-02,1428,796,447,46,54,85,112.9
2002-03,1602,840,592,55,48,67,114.2
2002-04,1410,754,472,39,58,87,113.9
2002-05,1615,889,534,47,58,87,116.3
2002-06,1411,768,472,55,32,84,115.8
2002-07,1481,771,484,52,58,116,117
2002-08,1616,782,637,52,58,87,117.8
2002-09,1416,786,439,54,57,80,118.5
2002-10,1765,911,674,57,47,76,120.1
2002-11,1600,758,681,39,56,66,120.2
2002-12,1346,757,404,55,65,65,119.4
2003-01,1370,683,521,42,51,73,118.4
2003-02,1495,769,515,74,49,88,118
2003-03,1363,657,518,45,64,79,115.6
2003-04,1332,799,347,58,60,68,114.1
2003-05,1450,770,512,55,40,73,111.3
2003-06,1485,789,520,54,56,66,111.1
2003-07,1437,816,403,62,59,97,109.2
2003-08,1213,665,373,46,55,74,106
2003-09,1338,755,401,50,58,74,104.6
2003-10,1304,708,357,75,49,115,100.1
2003-11,1264,710,347,81,61,65,97.2
2003-12,1379,711,421,100,75,72,96.5
2004-01,1389,705,474,98,61,51,95.3
2004-02,1155,606,338,110,43,58,92.4
2004-03,1320,731,373,105,53,58,91.9
2004-04,1329,700,407,126,46,50,90.6
2004-05,1217,639,359,121,50,48,88.5
2004-06,1218,638,357,140,38,45,86.5
2004-07,1214,630,369,115,43,57,84.3
2004-08,1335,637,428,166,56,48,84.4
2004-09,1188,614,360,154,37,23,83.4
2004-10,1304,675,373,162,46,48,82.3
2004-11,1169,547,375,150,42,55,81.9
2004-12,1266,678,371,143,39,35,80.9
2005-01,1195,638,354,140,43,20,79.4
2005-02,1311,638,429,165,59,20,79.8
2005-03,1260,645,361,163,56,35,78.3
2005-04,1366,660,410,214,60,22,78.4
2005-05,1413,691,450,175,59,38,79.4
2005-06,1371,675,433,188,47,28,79.8
2005-07,1411,634,491,206,46,34,80.4
2005-08,1406,690,453,208,38,17,81.4
2005-09,1488,627,588,213,42,18,81.6
2005-10,1355,618,487,194,33,23,81.7
2005-11,1331,675,356,226,39,35,82.4
2005-12,1308,645,420,194,34,15,81.7
2006-01,1605,733,564,248,47,13,83.3
2006-02,1439,689,463,235,24,28,83.8
2006-03,1411,671,434,226,45,35,84.6
2006-04,1320,635,409,218,47,11,83.4
2006-05,1340,656,390,217,51,26,82.7
2006-06,1351,661,397,226,48,19,82
2006-07,1304,664,369,221,35,15,81.1
2006-08,1481,654,549,226,42,10,80.2
2006-09,1398,680,454,225,31,8,79.7
2006-10,1408,673,451,218,43,23,79.6
2006-11,2180,642,471,1021,37,9,83.6
2006-12,1310,619,466,185,32,8,82.6
2007-01,1341,629,450,219,34,9,81.6
2007-02,1315,635,442,194,32,12,80.3
2007-03,1303,566,481,220,29,7,78.8
2007-04,1301,605,475,178,35,8,78.3
2007-05,1124,484,451,155,26,8,76.8
2007-06,1481,733,424,264,41,19,76.7
2007-07,1320,619,439,206,50,6,76.3
2007-08,1284,596,416,224,38,10,75
2007-09,1474,729,452,244,40,9,74.6
2007-10,1300,686,345,213,38,18,74.3
2007-11,1313,658,403,209,34,9,69.4
2007-12,1074,492,387,171,20,4,68.4
2008-01,1492,792,350,275,62,13,68.9
2008-02,1380,680,392,260,34,14,69.3
2008-03,1408,696,376,284,43,9,69
2008-04,1509,697,399,360,42,11,70.5
2008-05,1600,797,456,301,35,11,71.9
2008-06,1574,756,454,304,53,7,72.1
2008-07,1845,861,548,322,44,70,74.5
2008-08,1726,846,498,321,57,4,75.6
2008-09,1857,921,489,368,66,13,77.7
2008-10,2613,908,508,1129,46,22,83
2008-11,2024,1018,500,435,52,19,85.8
2008-12,2142,1117,525,441,50,9,90.4
2009-01,1980,1042,497,388,47,6,91.8
2009-02,2114,1118,569,372,43,12,94.9
2009-03,2360,1284,505,500,64,7,100.9
2009-04,2147,1224,529,329,57,8,103.6
2009-05,2024,1144,440,364,51,25,105.9
2009-06,2115,1224,493,346,45,7,109.7
2009-07,2025,1099,534,328,55,9,111.1
2009-08,1892,1121,334,367,62,8,112.7
2009-09,1925,1139,433,272,73,8,113.1
2009-10,1785,1010,449,266,58,2,109.6
2009-11,1847,1049,441,281,64,12,109.3
2009-12,1822,1041,417,262,94,8,108.1
2010-01,1707,929,489,215,67,7,110
2010-02,1669,976,378,249,58,8,107.8
2010-03,1701,948,456,218,75,4,104.5
2010-04,1814,1066,401,259,84,4,103
2010-05,1610,893,412,239,62,4,101
2010-06,1642,940,382,236,84,0,98.4
2010-07,1452,887,337,174,48,6,95.2
2010-08,1719,1061,383,216,55,4,94.4
2010-09,1566,918,350,233,55,10,92.5
2010-10,1730,1061,375,228,63,3,91.5
2010-11,1625,933,407,218,64,3,90.5
2010-12,1305,735,358,167,42,3,88
2011-01,1839,1164,339,258,76,2,88.3
2011-02,1533,948,339,209,34,3,87.5
2011-03,1636,1021,339,205,70,1,87.2
2011-04,1494,912,308,214,58,2,85.1
2011-05,1808,1047,465,213,78,5,86
2011-06,1652,966,425,206,50,5,85.9
2011-07,1886,1150,423,237,68,8,87.3
2011-08,1673,974,412,217,69,1,86.9
2011-09,1612,971,386,186,67,2,86.7
2011-10,1849,1003,568,211,65,2,86.8
2011-11,1679,1009,407,192,66,5,86.6
2011-12,1603,853,471,211,57,11,87.2
2012-01,1686,1038,359,225,57,7,86.5
2012-02,1772,1058,398,255,59,2,87.5
2012-03,1697,1056,368,214,54,5,86.9
2012-04,1754,1090,375,211,78,0,87.6
2012-05,1652,996,381,195,75,5,86.7
2012-06,1560,951,221,190,195,3,85.4
2012-07,1697,1008,443,180,58,8,84.3
2012-08,1606,1010,366,171,59,0,83.5
2012-09,1493,954,310,185,43,1,82.2
2012-10,1540,942,362,173,60,3,81
2012-11,1471,943,310,174,43,1,79.6
2012-12,1489,950,302,189,48,0,78.5
2013-01,1348,803,335,157,52,1,77.2
2013-02,1546,1057,265,172,51,1,75.5
2013-03,1411,874,311,188,37,1,73.2
2013-04,1472,923,337,163,46,3,72.3
2013-05,1549,1028,300,171,47,3,71.5
2013-06,1603,1050,308,180,64,1,71.2
2013-07,1632,1057,349,170,54,2,70.7
2013-08,1510,969,312,174,53,2,69.7
2013-09,1485,946,341,152,44,2,69.6
2013-10,1413,949,256,160,48,0,68.7
2013-11,1352,914,221,175,40,2,67.7
2013-12,1348,918,255,142,33,0,67
2014-01,1495,951,293,194,57,0,67.3
2014-02,1458,921,336,151,47,3,66.6
2014-03,1405,880,325,156,37,7,66.5
2014-04,1419,903,328,132,56,0,65.6
2014-05,1285,846,292,92,49,6,63.9
2014-06,1210,725,325,123,36,1,62.3
2014-07,1334,863,275,136,58,2,60.7
2014-08,1200,798,251,113,38,0,59.1
2014-09,1449,878,395,130,46,0,59
2014-10,1273,874,238,115,45,1,58
2014-11,1360,877,329,116,37,1,57.5
2014-12,1365,840,328,143,53,1,57.4
2015-01,1129,766,218,109,34,2,55.7
2015-02,1301,854,300,114,33,0,54.8
2015-03,1214,811,269,108,26,0,53.8
2015-04,1235,808,263,129,34,1,52.9
2015-05,1209,836,228,130,15,0,52.1
2015-06,1289,861,261,121,40,6,52.2
2015-07,1120,783,184,111,42,0,51
2015-08,1348,887,292,138,30,1,51.1
2015-09,1146,772,230,108,36,0,49.9
2015-10,1173,850,165,125,33,0,49.1
2015-11,1236,834,250,129,23,0,48.6
2015-12,1152,839,195,90,26,2,47.7
2016-01,1252,862,254,104,32,0,47.8
2016-02,1101,776,208,94,23,0,46.9
2016-03,1212,830,256,101,25,0,46.6
2016-04,1220,850,220,111,39,0,46.3
2016-05,1222,830,230,119,43,0,46.1
2016-06,1209,870,198,108,33,0,45.5
2016-07,1184,804,223,126,30,1,45.1
2016-08,1183,827,234,103,19,0,44.7
2016-09,1255,860,243,119,29,4,44.9
2016-10,1282,833,302,129,18,0,44.8
2016-11,1286,871,264,117,34,0,44.9
2016-12,1261,875,252,114,20,0,44.8
2017-01,1275,881,248,115,31,0,44.9
2017-02,1344,942,246,130,26,0,45.2
2017-03,1285,930,220,106,29,0,45.5
2017-04,1332,975,224,107,25,1,45.2
2017-05,1081,677,266,111,26,1,44.7
2017-06,1108,752,209,113,34,0,44.2
2017-07,1242,858,270,88,26,0,44.1
2017-08,1142,793,217,104,28,0,43.9
2017-09,1256,871,240,117,28,0,43.7
2017-10,1074,742,214,104,14,0,43.1
2017-11,1161,859,176,102,24,0,42.6
2017-12,1270,915,219,119,17,0,42.4
2018-01,1310,937,205,116,52,0,42.6
2018-02,1353,941,269,119,23,1,42.5
2018-03,1263,878,238,120,27,0,41.8
2018-04,1192,808,236,115,33,0,41.6
2018-05,1342,980,232,104,26,0,42.3
2018-06,1394,944,285,129,36,0,42.8
2018-07,1428,1028,206,166,28,0,43.4
2018-08,1545,1020,379,110,36,0,44.3
2018-09,1412,1008,254,119,31,0,44.5
2018-10,1339,925,275,109,30,0,45.3
2018-11,1322,929,241,132,20,0,45.6
2018-12,1153,743,269,125,16,0,45.1
2019-01,1566,1108,245,171,42,0,45.8
2019-02,1249,863,239,124,23,0,45.3
2019-03,1510,1063,253,165,29,0,45.9
2019-04,1460,1014,286,134,26,0,46.4
2019-05,1365,953,280,101,31,0,46.2
2019-06,1506,1024,277,170,35,0,46.2
2019-07,1430,990,242,159,39,0,46.2
2019-08,1478,1013,255,180,30,0,45.8
2019-09,1479,1071,231,154,22,1,46
2019-10,1466,1090,194,146,36,0,46.1
2019-11,1496,1071,253,151,21,0,46.3
2019-12,1165,796,188,160,21,0,46.4
2020-01,1380,962,234,152,32,0,45.6
2020-02,1426,1027,231,148,19,1,45.9
2020-03,1132,813,187,114,18,0,44.8
2020-04,1214,936,126,130,21,1,44
2020-05,1032,853,39,128,12,0,42.9
2020-06,717,525,70,108,14,0,40.8
2020-07,975,586,171,201,17,0,39.4
2020-08,858,626,104,112,15,1,37.7
2020-09,899,715,51,102,31,0,36
2020-10,886,709,59,97,21,0,34.2
2020-11,888,766,35,72,15,0,32.4
2020-12,1223,968,47,163,45,0,32.5
2021-01,793,650,45,77,21,0,30.4
2021-02,754,654,37,57,6,0,28.5
2021-03,908,802,34,62,10,0,27.8
2021-04,897,788,37,67,5,0,26.9
2021-05,1095,999,38,51,6,1,26.8
2021-06,1138,1045,35,44,14,0,27.8
2021-07,1129,1033,43,47,6,0,28
2021-08,1365,1263,46,54,2,0,29.2
2021-09,1450,1327,32,79,12,0,30.4
2021-10,1485,1328,47,94,16,0,31.6
2021-11,1593,1451,45,87,10,0,33.4
2021-12,1455,1315,55,78,7,0,34
2022-01,1668,1465,111,79,13,0,35.9
2022-02,1666,1460,92,111,3,0,37.8
2022-03,1860,1601,143,107,9,0,40.4
2022-04,2056,1825,118,103,10,0,42.9
2022-05,1865,1602,158,91,14,0,44.8
2022-06,1611,1356,144,102,8,1,45.8
2022-07,1931,1695,137,94,5,0,47.5
2022-08,1874,1579,174,108,13,0,48.8
2022-09,1718,1402,223,82,11,0,49.2
2022-10,1986,1651,225,105,5,0,50.4
2022-11,1869,1498,239,122,10,0,51.1
2022-12,2028,1686,205,127,10,0,52.1
2023-01,1774,1481,184,95,14,0,52.3
2023-02,1973,1652,201,108,12,0,52.8
2023-03,2203,1770,301,119,13,0,53.5
2023-04,1810,1450,231,117,12,0,52.6
2023-05,2478,2089,206,153,30,0,54.2
2023-06,2071,1664,248,145,14,0,55.1
2023-07,1792,1398,241,134,19,0,54.7
2023-08,2240,1783,259,186,11,1,55.4
2023-09,2109,1702,269,127,11,0,55.8
2023-10,2256,1870,221,141,23,1,56.5
2023-11,2261,1841,289,119,12,0,57.3
2023-12,2196,1869,189,123,15,0,57.2
2024-01,1830,1383,304,127,16,0,57.1
2024-02,2203,1758,272,161,12,0,57.6
2024-03,1836,1449,278,100,9,0,55.9
2024-04,2150,1706,278,148,18,0,57
2024-05,1926,1527,261,119,19,0,55.6
2024-06,2420,1933,287,177,23,0,55.8
2024-07,2055,1596,296,138,25,0,56.6
2024-08,1905,1501,272,112,20,0,55.5
2024-09,1939,1537,236,149,17,0,55
2024-10,1706,1415,175,102,12,2,53.9
2024-11,1983,1558,277,133,14,1,53
2024-12,1928,1475,305,131,17,0,52.5
2025-01,2043,1599,292,138,14,0,52.8
2025-02,2039,1519,395,118,7,0,52.3
2025-03,2007,1567,295,128,17,0,53
2025-04,2028,1537,363,103,24,1,52.5
2025-05,2207,1718,340,135,14,0,53
2025-06,2028,1574,322,117,15,0,52.4
2025-07,2054,1568,330,144,12,0,52.5
2025-08,2015,1577,303,119,16,0,52.5
2025-09,1966,1548,276,125,17,0,52.8
2025-10,2010,1557,313,123,17,0,53.4
2025-11,1852,1437,255,141,18,1,52.9
2025-12,1691,1321,250,105,15,0,52.5
2026-01,1764,1333,259,158,13,1,51.7
2026-02,1907,1480,261,156,10,0,51.5
2026-03,2037,1472,312,233,20,0,51.6
2026-04,2085,1510,371,183,20,1,51.8
