sic_section_code,sector,reporting_companies,avg_days_to_pay,pct_invoices_paid_late,pct_paid_within_30_days
C,Manufacturing,1058,47.4,28.9,36.6
G,Wholesale and retail,874,38.5,23.7,48.5
K,Finance and insurance,839,24.3,17.9,79.7
N,Admin and support,660,29.9,19.7,67.3
M,Professional services,614,34.5,22.2,64.0
J,Information and communication,515,33.6,22.8,66.7
F,Construction,413,34.7,18.6,53.7
P,Education,307,24.8,19.3,79.0
H,Transport and storage,272,34.4,19.9,55.5
I,Accommodation and food,202,33.7,18.3,55.8
D,Electricity and gas,177,27.6,16.6,74.2
Q,Health and social work,147,29.1,17.2,71.0
S,Other services,127,34.5,21.1,63.2
B,Mining and quarrying,121,34.9,20.3,60.4
R,Arts and recreation,91,31.7,21.4,64.3
L,Real estate,83,30.1,23.9,73.1
E,Water and waste,72,35.6,23.8,54.0
A,"Agriculture, forestry and fishing",38,33.5,21.6,58.8
O,Public administration,18,29.4,23.1,68.3
U,Extraterritorial,5,48.0,8.0,5.0
T,Households as employers,1,35.0,3.0,52.0
